"id","commodity_id","why_invest","when_to_invest","when_to_avoid","ideal_conditions"
1,1,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
2,2,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
3,3,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
4,4,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
5,5,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
6,6,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
7,7,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
8,8,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
9,9,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
10,10,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
11,11,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
12,12,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
13,13,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
14,14,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
15,15,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
16,16,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
17,17,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
18,18,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
19,19,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
20,20,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
21,21,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
22,22,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
23,23,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
24,24,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
25,25,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
26,26,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
27,27,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
28,28,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
29,29,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
30,30,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
31,31,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
32,32,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
33,33,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
34,34,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
35,35,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
36,36,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
37,37,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
38,38,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
39,39,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
40,40,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
41,41,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
42,42,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
43,43,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
44,44,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
45,45,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
46,46,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
47,47,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
48,48,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
49,49,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
50,50,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
51,51,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
52,52,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
53,53,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
54,54,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
55,55,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
56,56,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
57,57,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
58,58,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
59,59,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
60,60,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
61,61,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
62,62,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
63,63,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
64,64,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
65,65,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
66,66,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
67,67,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
68,68,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
69,69,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
70,70,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
71,71,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
72,72,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
73,73,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
74,74,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
75,75,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
76,76,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
77,77,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
78,78,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
79,79,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
80,80,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
81,81,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
82,82,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
83,83,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
84,84,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
85,85,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
86,86,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
87,87,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
88,88,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
89,89,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
90,90,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
91,91,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
92,92,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
93,93,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
94,94,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
95,95,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
96,96,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
97,97,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
98,98,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
99,99,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
100,100,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
101,101,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
102,102,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
103,103,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
104,104,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
105,105,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
106,106,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
107,107,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
108,108,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
109,109,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
110,110,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
111,111,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
112,112,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
113,113,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
114,114,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
115,115,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
116,116,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
117,117,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
118,118,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
119,119,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
120,120,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
121,121,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
122,122,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
123,123,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
124,124,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
125,125,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
126,126,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
127,127,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
128,128,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
129,129,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
130,130,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
131,131,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
132,132,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
133,133,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
134,134,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
135,135,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
136,136,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
137,137,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
138,138,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
139,139,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
140,140,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
141,141,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
142,142,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
143,143,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
144,144,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
145,145,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
146,146,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
147,147,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
148,148,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
149,149,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
150,150,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
151,151,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
152,152,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
153,153,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
154,154,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
155,155,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
156,156,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
157,157,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
158,158,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
159,159,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
160,160,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
161,161,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
162,162,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
163,163,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
164,164,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
165,165,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
166,166,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
167,167,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
168,168,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
169,169,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
170,170,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
171,171,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
172,172,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
173,173,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
174,174,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
175,175,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
176,176,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
177,177,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
178,178,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
179,179,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
180,180,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
181,181,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
182,182,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
183,183,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
184,184,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
185,185,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
186,186,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
187,187,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
188,188,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
189,189,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
190,190,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
191,191,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
192,192,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
193,193,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
194,194,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
195,195,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
196,196,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
197,197,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
198,198,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
199,199,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
200,200,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
201,201,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
202,202,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
203,203,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
204,204,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
205,205,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
206,206,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
207,207,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
208,208,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
209,209,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
210,210,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
211,211,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
212,212,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
213,213,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
214,214,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
215,215,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
216,216,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
217,217,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
218,218,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
219,219,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
220,220,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
221,221,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
222,222,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
223,223,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
224,224,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
225,225,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
226,226,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
227,227,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
228,228,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
229,229,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
230,230,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
231,231,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
232,232,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
233,233,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
234,234,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
235,235,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
236,236,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
237,237,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
238,238,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
239,239,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
240,240,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
241,241,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
242,242,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
243,243,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
244,244,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
245,245,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
246,246,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
247,247,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
248,248,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
249,249,"Inflation Hedge","Bull Market","High Volatility","Stable Economy"
